nodes,edges,average_degree,average_clustering,assortativity,max_pagerank,max_degree_centrality,max_betweenness,density,betweenness_approximate,betweenness_sample,scope,match_id,period,outcome,match_date
1,0,0.0,0.0,,1.0,0.0,0.0,0.0,False,1,match,2025-02-09-cru-cam,Pré-jogo,Atlético-MG venceu,2025-02-09
3823,948,0.4959455924666492,0.00012290151191998312,-0.26410798270302915,0.016870822606522434,0.025641025641025644,1.0468463752944255e-05,6.488037578056636e-05,True,100,match,2025-02-09-cru-cam,Pós-jogo,Atlético-MG venceu,2025-02-09
47,8,0.3404255319148936,0.0,-0.06666666666666667,0.04792944404601927,0.043478260869565216,0.0004830917874396135,0.0037002775208140612,False,47,match,2025-05-18-cru-cam,Pré-jogo,Empate,2025-05-18
804,426,1.0597014925373134,0.0034591332411442388,-0.24901974722010947,0.060615965789446474,0.06973848069738481,7.481296758104739e-05,0.0006598390364491366,True,100,match,2025-05-18-cru-cam,Pós-jogo,Empate,2025-05-18
102,19,0.37254901960784315,0.0,-0.1990291262135926,0.03291959572495244,0.039603960396039604,0.0,0.0018443020772665503,True,100,match,2025-08-27-cam-cru,Pré-jogo,Cruzeiro venceu,2025-08-27
2884,988,0.6851595006934813,0.0008532338560928615,-0.23567162694962354,0.030847188934628074,0.044051335414498786,2.775850104094379e-05,0.00011882752353338211,True,100,match,2025-08-27-cam-cru,Pós-jogo,Cruzeiro venceu,2025-08-27
4,0,0.0,0.0,,0.25,0.0,0.0,0.0,False,4,match,2025-09-11-cru-cam,Pré-jogo,Cruzeiro venceu,2025-09-11
3379,975,0.5770938147380882,0.0007380769180935546,-0.2709107443757286,0.024636650170813824,0.035523978685612786,1.7767249037607344e-05,8.541945155981175e-05,True,100,match,2025-09-11-cru-cam,Pós-jogo,Cruzeiro venceu,2025-09-11
19,4,0.42105263157894735,0.0,-0.6,0.15848276482850499,0.16666666666666666,0.0,0.011695906432748537,False,19,match,2025-10-15-cam-cru,Pré-jogo,Empate,2025-10-15
2716,1128,0.8306332842415317,0.001075407674900217,-0.3701336949722057,0.015932966702410786,0.02578268876611418,0.0001436993367722918,0.00015297113890267618,True,100,match,2025-10-15-cam-cru,Pós-jogo,Empate,2025-10-15
35,6,0.34285714285714286,0.0,-0.6153846153846161,0.04926768562903959,0.08823529411764705,0.0,0.005042016806722689,False,35,match,2026-01-25-cam-cru,Pré-jogo,Atlético-MG venceu,2026-01-25
2447,685,0.559869227625664,0.0025149348886952276,-0.2920934596152328,0.01898418431613639,0.02902698282910875,1.2269938650306746e-05,0.00011444587645659527,True,100,match,2026-01-25-cam-cru,Pós-jogo,Atlético-MG venceu,2026-01-25
21,5,0.47619047619047616,0.0,0.16666666666666557,0.0932378379511767,0.1,0.0,0.011904761904761904,False,21,match,2026-03-08-cru-cam,Pré-jogo,Cruzeiro venceu,2026-03-08
16367,3067,0.37477851774912935,0.0003786599183514107,-0.22315044995139793,0.010543554464418497,0.010142979347427594,3.0553009471432938e-06,1.1449911943942605e-05,True,100,match,2026-03-08-cru-cam,Pós-jogo,Cruzeiro venceu,2026-03-08
58,12,0.41379310344827586,0.0,-0.4450261780104709,0.06917089660499076,0.07017543859649122,0.0009398496240601503,0.003629764065335753,False,58,match,2026-05-02-cru-cam,Pré-jogo,Atlético-MG venceu,2026-05-02
2242,802,0.7154326494201606,0.001958881602133275,-0.30050051137811495,0.033782451510229246,0.04105310129406515,1.785714285714286e-05,0.00015962352731373506,True,100,match,2026-05-02-cru-cam,Pós-jogo,Atlético-MG venceu,2026-05-02
62,16,0.5161290322580645,0.0,-0.6962750716332379,0.08068940824813889,0.09836065573770492,0.0,0.004230565838180857,False,62,match,2026-08-25-cru-cam,Pré-jogo,Empate,2026-08-25
1483,647,0.8725556304787593,0.0001534675825764302,-0.23857755832400274,0.045847189418124795,0.0728744939271255,1.350438892640108e-05,0.00029438449071483104,True,100,match,2026-08-25-cru-cam,Pós-jogo,Empate,2026-08-25
16,1,0.125,0.0,,0.10979190817475318,0.06666666666666667,0.0,0.004166666666666667,False,16,match,2026-09-01-cam-cru,Pré-jogo,Atlético-MG venceu,2026-09-01
2911,954,0.655444864307798,0.0006661138264109149,-0.3205893206809062,0.01497113879502728,0.024742268041237116,1.3750429700928154e-05,0.00011261939249274879,True,100,match,2026-09-01-cam-cru,Pós-jogo,Atlético-MG venceu,2026-09-01
110,19,0.34545454545454546,0.0,-0.4179104477611934,0.038708411991033996,0.03669724770642202,0.00018705574261129816,0.00158465387823186,True,100,outcome,,Pré-jogo,Atlético-MG venceu,
10595,3387,0.6393581878244455,0.0011412346678845219,-0.26126141892722116,0.00825445397158398,0.009250519161789691,8.496176720475786e-06,3.0175485549577377e-05,True,100,outcome,,Pós-jogo,Atlético-MG venceu,
127,24,0.3779527559055118,0.0,-0.15714285714285695,0.026465177984316843,0.031746031746031744,0.0,0.0014998125234345708,True,100,outcome,,Pré-jogo,Cruzeiro venceu,
21867,5021,0.45923080440846936,0.0005335987076241982,-0.23101877429524903,0.007547867229779515,0.007591694868745998,2.744111593871484e-06,1.0501024522282754e-05,True,100,outcome,,Pós-jogo,Cruzeiro venceu,
128,28,0.4375,0.0,-0.4671950682518717,0.040217892195624036,0.047244094488188976,8.01667468334135e-05,0.0017224409448818897,True,100,outcome,,Pré-jogo,Empate,
4798,2201,0.917465610671113,0.001003850994467351,-0.28178224102544397,0.013215721528175215,0.0225140712945591,8.757297748123435e-05,9.562910263405389e-05,True,100,outcome,,Pós-jogo,Empate,
