outcome,period_label,arbitragem,treinador,jogador,diretoria,torcida,rivalidade,desempenho,escalação,contratação,resultado da partida,outros
Atlético-MG venceu,Pré-jogo,0.0,0.013793103448275862,0.027586206896551724,0.006896551724137931,0.020689655172413793,0.3310344827586207,0.04827586206896552,0.013793103448275862,0.0,0.041379310344827586,0.6068965517241379
Atlético-MG venceu,Pós-jogo,0.06812979668776087,0.015887976302679414,0.292177191328935,0.007674700417395988,0.030698801669583952,0.2383196445401912,0.08078632018311566,0.0039046721421839236,0.005385754678874377,0.08011310084825636,0.4295812575737175
Cruzeiro venceu,Pré-jogo,0.0,0.10526315789473684,0.16447368421052633,0.0,0.02631578947368421,0.09868421052631579,0.02631578947368421,0.006578947368421052,0.0,0.02631578947368421,0.6513157894736842
Cruzeiro venceu,Pós-jogo,0.01733800350262697,0.009982486865148861,0.1929597197898424,0.007495621716287215,0.022171628721541155,0.1329597197898424,0.03691768826619965,0.0019614711033274957,0.0007355516637478108,0.03460595446584939,0.6473204903677758
Empate,Pré-jogo,0.0,0.006369426751592357,0.05732484076433121,0.0,0.006369426751592357,0.40764331210191085,0.044585987261146494,0.0,0.0,0.07643312101910828,0.4840764331210191
Empate,Pós-jogo,0.11025464556090847,0.0057811424638678595,0.2239504473503097,0.004817618719889883,0.029731589814177565,0.19972470750172058,0.088093599449415,0.006331727460426703,0.0016517549896765313,0.07240192704748796,0.4929112181693049
