outcome,topic_arbitragem,topic_treinador,topic_jogador,topic_diretoria,topic_torcida,topic_rivalidade,topic_desempenho,topic_escalação,topic_contratação,topic_resultado_da_partida,topic_outros
Atlético-MG venceu,0.06812979668776087,0.015887976302679414,0.292177191328935,0.007674700417395988,0.030698801669583952,0.2383196445401912,0.08078632018311566,0.0039046721421839236,0.005385754678874377,0.08011310084825636,0.4295812575737175
Cruzeiro venceu,0.01734043298535697,0.00998388565823583,0.19298675821481118,0.007496672038113921,0.022174735514608,0.1329783507321516,0.03692286134659847,0.00196174595389897,0.0007356547327121138,0.034610803615217546,0.6472710712534155
Empate,0.11025464556090847,0.0057811424638678595,0.2239504473503097,0.004817618719889883,0.029731589814177565,0.19972470750172058,0.088093599449415,0.006331727460426703,0.0016517549896765313,0.07240192704748796,0.4929112181693049
