outcome,period_label,comments,unique_users,likes_total,likes_mean,likes_median,mean_model_confidence,negative,neutral,positive
Atlético-MG venceu,Pré-jogo,145,110,136,0.9379310344827586,0.0,0.6682641039634573,0.30344827586206896,0.46206896551724136,0.23448275862068965
Atlético-MG venceu,Pós-jogo,14854,10586,125805,8.469435842197388,0.0,0.6830779623420302,0.49111350477985727,0.3032179884206274,0.2056685067995153
Cruzeiro venceu,Pré-jogo,152,127,454,2.986842105263158,0.0,0.6250698674274119,0.35526315789473684,0.47368421052631576,0.17105263157894737
Cruzeiro venceu,Pós-jogo,28550,21864,263685,9.235901926444834,0.0,0.6976821904915227,0.4646234676007005,0.29001751313485113,0.24535901926444834
Empate,Pré-jogo,157,128,352,2.2420382165605095,1.0,0.6708701617398839,0.27388535031847133,0.47770700636942676,0.2484076433121019
Empate,Pós-jogo,7265,4796,46285,6.370956641431521,0.0,0.730003437418324,0.6586373021335169,0.2465244322092223,0.09483826565726083
