comment_id,sentiment,sentiment_score
UgxL7vYUddq_BYa83m54AaABAg,negative,0.7664042711257935
UgzAwHG_MAwbdfAzekl4AaABAg,neutral,0.6988964676856995
UgzNjJR1cWyGENVTnEl4AaABAg,neutral,0.5897830128669739
UgxmNQlLgsm1Akpn9Hx4AaABAg,negative,0.921616554260254
UgxS1_TDhoOSJMKRD8V4AaABAg,neutral,0.4202715456485748
UgyvIGvYusn_Ub0Dzdt4AaABAg,negative,0.8481032848358154
UgyLbklRTQ5L9QjJrNB4AaABAg,negative,0.8481032848358154
UgwbdapJg2qDDQHp2PR4AaABAg,negative,0.8481032848358154
UgxuaohiRnzpyj3q63V4AaABAg,neutral,0.4658937454223633
UgxqyosI2mAmNXJbYMt4AaABAg,positive,0.7968561053276062
UgzXeXsVHx1eXPbfzEN4AaABAg,neutral,0.6733989119529724
UgwjvDJio2mI9pQ0eiJ4AaABAg,positive,0.788987934589386
Ugy0dzMy-8o4Z6Lmwvt4AaABAg,neutral,0.6460942625999451
UgxXR_7H9N3bs4RjGGZ4AaABAg,negative,0.9494052529335022
UgwO_zjgpw503qj2Rad4AaABAg,neutral,0.5388100147247314
Ugy_9jbg6lJYUZ8MYst4AaABAg,negative,0.9424041509628296
UgxjYBBZFeF9enyIac94AaABAg,positive,0.4425455629825592
UgxUaW2XJzA1ttQsD454AaABAg,negative,0.5127291679382324
UgxnMWrtwJ7M0yLNxoJ4AaABAg,neutral,0.4993759989738464
UgwWe9d1LcB5hMg0YjZ4AaABAg,negative,0.7503347396850586
UgyivYiou_npjjClH-p4AaABAg,negative,0.7813702821731567
Ugw8_m2E0jSzKbWNgp54AaABAg,neutral,0.7011686563491821
UgyGfEjnSSOTOlc9l3B4AaABAg,neutral,0.451601892709732
UgyGfEjnSSOTOlc9l3B4AaABAg.AaH9bm25W2UAaHXIsgk8Bt,positive,0.6336567401885986
UgzGROXzqFhB8L-EAHh4AaABAg,neutral,0.3712895512580871
Ugyu20-pSSLbz_KBGsx4AaABAg,negative,0.9151580929756165
Ugx7zkK91tuEemO5Ipx4AaABAg,negative,0.9564533829689026
UgwgIknOVImTqDMKzjB4AaABAg,positive,0.8348463773727417
UgxZVB7ffkd4ElZfQzF4AaABAg,negative,0.9318476319313048
Ugy2CrcRWel0ut4FzQF4AaABAg,negative,0.9463282227516174
Ugwq43uPIDuD2icpYRV4AaABAg,negative,0.7387321591377258
UgzsxtL3ic6xNmMU4Pt4AaABAg,negative,0.5127032995223999
UgybHEJfMdfWKlCvve94AaABAg,positive,0.827541708946228
UgzP8bQeXShoNQQQDYd4AaABAg,positive,0.7822514772415161
UgzyUhjwSRzJzuXT0Ql4AaABAg,neutral,0.4686078429222107
Ugyg9C_5dTySBeJbGjV4AaABAg,neutral,0.4671300947666168
Ugy0lbjSo4GOo0CgvaF4AaABAg,neutral,0.704944372177124
Ugy0lbjSo4GOo0CgvaF4AaABAg.AaGzW4EUEJ1AaH7_bzEqB6,positive,0.8451095223426819
UgyMsLZdsz7WgZr96wJ4AaABAg,neutral,0.6979935765266418
UgyMsLZdsz7WgZr96wJ4AaABAg.AaGzCV5W420AaH50ryfZNZ,neutral,0.6241579055786133
UgwJNXALnXOKsrB9StZ4AaABAg,positive,0.937441885471344
Ugxcbumkwq8Zj0dJ1TJ4AaABAg,positive,0.4341879189014435
UgwY3SK34nPtx-U_7bB4AaABAg,negative,0.8959289789199829
UgxH5wR7jgydpvFVWiR4AaABAg,positive,0.9174144864082336
UgwrjikAh6dHcHofav94AaABAg,positive,0.8538040518760681
UgwXuF9Pp10Gy2KvQ9p4AaABAg,positive,0.6033853888511658
UgzDcl7EChREkeVoCCh4AaABAg,positive,0.893742561340332
UgyFMQo-ellI8LeR8Xd4AaABAg,neutral,0.5354668498039246
UgwYXn-_HDkK_T0KxhN4AaABAg,negative,0.8451032638549805
Ugygu3eUuWgJy6tlVad4AaABAg,neutral,0.7552372217178345
UgzRN4FlVK-mJAPWXF14AaABAg,negative,0.5556767582893372
UgwjyFogWMv7QPgLPs54AaABAg,negative,0.8151795268058777
Ugxz5zzCUKa66TS1L8p4AaABAg,negative,0.5628265738487244
Ugxz5zzCUKa66TS1L8p4AaABAg.AaGpAW5xW3PAaNLdXwTpxA,neutral,0.565514862537384
Ugzk4RdfwQ7QisEoDPt4AaABAg,negative,0.894347071647644
UgyuR_ZQPsjd_sZh_Al4AaABAg,positive,0.935632824897766
UgzhoTbUd0It9QH1ThV4AaABAg,positive,0.7186027765274048
UgxI_Z_ciYMgMDAFaGh4AaABAg,negative,0.8398230075836182
UgwnM_9ot2BoPdbCmRV4AaABAg,negative,0.9095959663391112
Ugx5Yzi1HC0Igmrn2-d4AaABAg,negative,0.9477792978286744
UgzYMOGBh38GEP-wTTV4AaABAg,positive,0.7431879043579102
Ugxt-40uHOSz68Ccxw54AaABAg,negative,0.6830634474754333
UgyblTZlifToF-qTrv54AaABAg,neutral,0.8183377981185913
Ugz_NktrvlljX1s-frp4AaABAg,neutral,0.6182019114494324
UgxEatyxYVyfR6eq8zR4AaABAg,positive,0.8244668245315552
UgzU0FAkJZIIFDHP-A14AaABAg,neutral,0.4973261952400207
UgzUn1Vv9G_jSNVHkgN4AaABAg,negative,0.577297568321228
UgwvVPdRb-PvNsGHtuF4AaABAg,positive,0.5643448829650879
UgwJjLvmFr-yqyQ21014AaABAg,negative,0.8340946435928345
UgxqSbpR1z117-TnA-R4AaABAg,negative,0.4947194159030914
Ugwu4tjzEN_aLfSlJup4AaABAg,positive,0.7445810437202454
UgymESeIhMHJ-tS16AV4AaABAg,positive,0.4927939772605896
Ugxf0wgzdrE06Nq3WD14AaABAg,negative,0.8787558078765869
UgyuvcnEdfUlOXYkNVR4AaABAg,positive,0.871925413608551
UgxkQ22IaiaQC1pDs6F4AaABAg,negative,0.5652284026145935
UgyQMjTUDUtD7eZ05C54AaABAg,negative,0.8453724384307861
Ugzkm_y257578QElhIZ4AaABAg,negative,0.353565901517868
UgzRZv0mYX2Cvl2AzRB4AaABAg,neutral,0.4583867788314819
Ugws42l4otIaC-6HkRJ4AaABAg,negative,0.6266900897026062
Ugws42l4otIaC-6HkRJ4AaABAg.AaGd_DE7uG-AaH5i5br7OQ,neutral,0.5790770053863525
UgxIyqTH7gnuQFji_mF4AaABAg,positive,0.8558669686317444
UgxIyqTH7gnuQFji_mF4AaABAg.AaGdYi_9nN-AaGoyG07jUi,neutral,0.6814417839050293
UgxIyqTH7gnuQFji_mF4AaABAg.AaGdYi_9nN-AaIpjAp_rXO,negative,0.9313309788703918
UgxIyqTH7gnuQFji_mF4AaABAg.AaGdYi_9nN-AaJMnrisPbO,neutral,0.5343989133834839
UgxXgg1pGhXwkMfTw8x4AaABAg,negative,0.9352270364761353
UgzlsOvTmXacaFXJPXN4AaABAg,neutral,0.6869978904724121
UgzZUj27b4khFn-0nGd4AaABAg,positive,0.4341879189014435
UgwXp-dxkYGJEiNlUGJ4AaABAg,neutral,0.4938474893569946
UgxRjpi8ae-2JYtRRJl4AaABAg,negative,0.7085871696472168
