entity_id,canonical_name,alias,alias_confidence,alias_note
player_kaua_pascini,Kauã Pascini,kauã pascini,high,canonical_lower
player_kaua_pascini,Kauã Pascini,kaua pascini,high,canonical_without_accents
player_keny_arroyo,Keny Arroyo,keny arroyo,high,canonical_lower
player_keny_arroyo,Keny Arroyo,arroyo,high,common_alias
player_kevin_castano,Kevin Castaño,kevin castaño,high,canonical_lower
player_kevin_castano,Kevin Castaño,kevin castano,high,canonical_without_accents
player_kevin_castano,Kevin Castaño,castano,high,common_alias
player_kevin_castano,Kevin Castaño,castaño,high,common_alias
player_lautaro_diaz,Lautaro Díaz,lautaro díaz,high,canonical_lower
player_lautaro_diaz,Lautaro Díaz,lautaro diaz,high,canonical_without_accents
player_lautaro_diaz,Lautaro Díaz,lautaro,medium,common_alias
player_lucas_romero,Lucas Romero,lucas romero,high,canonical_lower
player_lucas_silva,Lucas Silva,lucas silva,high,canonical_lower
player_lucas_villalba,Lucas Villalba,lucas villalba,high,canonical_lower
player_luis_sinisterra,Luis Sinisterra,luis sinisterra,high,canonical_lower
player_luis_sinisterra,Luis Sinisterra,sinisterra,high,common_alias
player_lyanco,Lyanco,lyanco,medium,canonical_lower
player_leo_aragao,Léo Aragão,léo aragão,high,canonical_lower
player_leo_aragao,Léo Aragão,leo aragao,high,canonical_without_accents
player_mamady_cisse,Mamady Cissé,mamady cissé,high,canonical_lower
player_mamady_cisse,Mamady Cissé,mamady cisse,high,canonical_without_accents
player_mamady_cisse,Mamady Cissé,cisse,medium,common_alias
player_mamady_cisse,Mamady Cissé,cissé,medium,common_alias
player_marquinhos,Marquinhos,marquinhos,high,canonical_lower
player_mateo_cassierra,Mateo Cassierra,mateo cassierra,high,canonical_lower
player_mateo_cassierra,Mateo Cassierra,cassierra,high,common_alias
player_matheus_henrique,Matheus Henrique,matheus henrique,high,canonical_lower
player_matheus_pereira,Matheus Pereira,matheus pereira,high,canonical_lower
player_maycon,Maycon,maycon,medium,canonical_lower
player_natanael,Natanael,natanael,high,canonical_lower
player_neyser_villarreal,Neyser Villarreal,neyser villarreal,high,canonical_lower
player_neyser_villarreal,Neyser Villarreal,neyser,high,common_alias
player_neyser_villarreal,Neyser Villarreal,neiser,medium,common_alias
player_neyser_villarreal,Neyser Villarreal,villarreal,medium,common_alias
player_otavio,Otávio,otávio,medium,canonical_lower
player_otavio,Otávio,otavio,medium,canonical_without_accents
player_otavio_henrique,Otávio Henrique,otávio henrique,high,canonical_lower
player_otavio_henrique,Otávio Henrique,otavio henrique,high,canonical_without_accents
player_patrick,Patrick,patrick,medium,canonical_lower
player_reinier,Reinier,reinier,medium,canonical_lower
player_renan_lodi,Renan Lodi,renan lodi,high,canonical_lower
player_renan_lodi,Renan Lodi,lodi,high,common_alias
player_rony,Rony,rony,medium,canonical_lower
player_ruan_tressoldi,Ruan Tressoldi,ruan tressoldi,high,canonical_lower
player_rubens,Rubens,rubens,high,canonical_lower
player_saravia,Saravia,saravia,medium,canonical_lower
player_thiago_borbas,Thiago Borbas,thiago borbas,high,canonical_lower
player_thiago_borbas,Thiago Borbas,borbas,high,common_alias
player_tomas_cuello,Tomás Cuello,tomás cuello,high,canonical_lower
player_tomas_cuello,Tomás Cuello,tomas cuello,high,canonical_without_accents
player_tomas_cuello,Tomás Cuello,cuello,high,common_alias
player_tomas_perez,Tomás Pérez,tomás pérez,high,canonical_lower
player_tomas_perez,Tomás Pérez,tomas perez,high,canonical_without_accents
player_victor_hugo,Victor Hugo,victor hugo,high,canonical_lower
player_vitor_hugo,Vitor Hugo,vitor hugo,high,canonical_lower
player_vitao,Vitão,vitão,high,canonical_lower
player_vitao,Vitão,vitao,high,canonical_without_accents
player_walace,Walace,walace,medium,canonical_lower
player_wanderson,Wanderson,wanderson,medium,canonical_lower
player_wesley_teixeira,Wesley Teixeira,wesley teixeira,high,canonical_lower
player_william,William,william,medium,canonical_lower
player_angelo_preciado,Ángelo Preciado,ángelo preciado,high,canonical_lower
player_angelo_preciado,Ángelo Preciado,angelo preciado,high,canonical_without_accents
player_angelo_preciado,Ángelo Preciado,preciado,high,common_alias
technical_staff_adrian_vaccarini,Adrián Vaccarini,adrián vaccarini,high,canonical_lower
technical_staff_adrian_vaccarini,Adrián Vaccarini,adrian vaccarini,high,canonical_without_accents
technical_staff_adrian_vaccarini,Adrián Vaccarini,vaccarini,high,common_alias
technical_staff_alexandre_willian_pinto_coelho,Alexandre Willian Pinto Coelho,alexandre willian pinto coelho,high,canonical_lower
technical_staff_aluizio_carlos_dos_santos,Aluizio Carlos dos Santos,aluizio carlos dos santos,high,canonical_lower
technical_staff_andre_albino_carvalho_da_cunha,André Albino Carvalho Da Cunha,andré albino carvalho da cunha,high,canonical_lower
technical_staff_andre_albino_carvalho_da_cunha,André Albino Carvalho Da Cunha,andre albino carvalho da cunha,high,canonical_without_accents
technical_staff_antonio_augusto_duarte_baptista,Antonio Augusto Duarte Baptista,antonio augusto duarte baptista,high,canonical_lower
technical_staff_antonio_manuel_martins_vieira,António Manuel Martins Vieira,antónio manuel martins vieira,high,canonical_lower
technical_staff_antonio_manuel_martins_vieira,António Manuel Martins Vieira,antonio manuel martins vieira,high,canonical_without_accents
technical_staff_cristiano_garcia_nunes,Cristiano Garcia Nunes,cristiano garcia nunes,high,canonical_lower
technical_staff_cuquinha,Cuquinha,cuquinha,high,canonical_lower
technical_staff_danilo_jose_prando_minutti,Danilo José Prando Minutti,danilo josé prando minutti,high,canonical_lower
technical_staff_danilo_jose_prando_minutti,Danilo José Prando Minutti,danilo jose prando minutti,high,canonical_without_accents
technical_staff_danilo_jose_prando_minutti,Danilo José Prando Minutti,danilo minutti,high,common_alias
technical_staff_danilo_jose_prando_minutti,Danilo José Prando Minutti,minutti,high,common_alias
technical_staff_danilo_minutti,Danilo Minutti,danilo minutti,high,canonical_lower
technical_staff_danilo_minutti,Danilo Minutti,minutti,high,common_alias
technical_staff_diogo_alves,Diogo Alves,diogo alves,high,canonical_lower
technical_staff_fabricio_rocha_de_carvalho,Fabrício Rocha de Carvalho,fabrício rocha de carvalho,high,canonical_lower
