video_id,match_id,title,description,channel_id,channel_name,published_at,period,views,likes,comment_count,url,search_query
1K8CChkz7YY,2025-09-11-cru-cam,Cruzeiro x Atlético-MG | Gameplay PES 2021 | Copa do Brasil 2025 2º Jogo | 11/09/2025,"Cruzeiro x Atlético-MG, clássico mineiro decisivo pelas Quartas de Final da Copa do Brasil 2025, recriado em gameplay no PES ...",UCjj7hrZhzJmS5pDiqIW5XlQ,Noob Mundial,2025-09-10T16:00:03Z,pre_game,8804,13,0,https://www.youtube.com/watch?v=1K8CChkz7YY,"""Cruzeiro x Atlético-MG"" 11/09/2025"
dhYKOQBnq1M,2025-09-11-cru-cam,CRUZEIRO 2 x 0 ATLÉTICO-MG | MELHORES MOMENTOS | QUARTAS DE FINAL | COPA DO BRASIL 2025,"VIRA DOIS, ACABA QUATRO! ⚽ O #Cruzeiro está na semifinal da #CopadoBrasil! No #Mineirão, o Cabuloso venceu o ...",UC6RD83p2Hlum9aURp3pASeQ,Prime Video Sport Brasil,2025-09-12T00:49:05Z,post_game,1159790,20454,1729,https://www.youtube.com/watch?v=dhYKOQBnq1M,"""Cruzeiro x Atlético-MG"" 11/09/2025"
Gjw3xIhIHKI,2025-09-11-cru-cam,Cruzeiro X Atlético Mineiro DUBLADO! #dublagem #copadobrasil #cruzeiro #atleticomineiro #atleticomg,,UCbJ0FUhM6roOzw6cM5eFPog,Gustavo Machado,2025-09-12T13:32:04Z,post_game,3683829,136705,1518,https://www.youtube.com/watch?v=Gjw3xIhIHKI,"""Cruzeiro x Atlético-MG"" 11/09/2025"
RU_E9tOfMeI,2025-09-11-cru-cam,COMO FOI CRUZEIRO VS ATLÉTICO!,,UCjuoQFvSdUJu6jQQR5EqCuA,Jaum Brow,2025-09-12T20:00:18Z,post_game,4124429,60389,229,https://www.youtube.com/watch?v=RU_E9tOfMeI,"""Cruzeiro x Atlético-MG"" 11/09/2025"
wRQRVgquWfM,2025-09-11-cru-cam,CRUZEIRO 2 X 0 ATLÉTICO-MG  | MELHORES MOMENTOS | QUARTAS DE FINAL COPA DO BRASIL 2025 | ge.globo,"Kaio Jorge brilha, Cruzeiro volta a vencer Atlético-MG e vai enfrentar o Corinthians na semifinal. Artilheiro da Copa do Brasil e do ...",UCgCKagVhzGnZcuP9bSMgMCg,ge tv,2025-09-12T00:49:38Z,post_game,561846,9584,584,https://www.youtube.com/watch?v=wRQRVgquWfM,"""Cruzeiro x Atlético-MG"" 11/09/2025"
JsPND3wa69g,2025-09-11-cru-cam,💙🦊 BASTIDORES | O Cruzeiro venceu o Atlético-MG duas vezes e está na semifinal da Copa do Brasil!,TV Cruzeiro! A Nação Azul se encontra aqui. ☆ Imagens e edição: Matheus de Morais / TV CRUZEIRO ☆ SEJA SÓCIO 5 ...,UCqifkpdmE1z3VhfQoJzwpJQ,TV CRUZEIRO | Cruzeiro Esporte Clube,2025-09-13T00:28:55Z,post_game,395697,35197,1494,https://www.youtube.com/watch?v=JsPND3wa69g,"""Cruzeiro x Atlético-MG"" 11/09/2025"
j7K8LcUpI_c,2025-08-27-cam-cru,ATLÉTICO-MG X CRUZEIRO AO VIVO E COM IMAGENS DIRETO DA ARENA MRV: PRÉ-JOGO DA COPA DO BRASIL,PRÉ-JOGO NO MODO PRIME! ⚽︎ Pré-jogo com imagens exclusivas de Atlético-MG x Cruzeiro pelas quartas de final da ...,UC6RD83p2Hlum9aURp3pASeQ,Prime Video Sport Brasil,2025-08-27T22:22:11Z,pre_game,421312,2554,70,https://www.youtube.com/watch?v=j7K8LcUpI_c,"""Atlético-MG x Cruzeiro"" Copa do Brasil"
3MqmBRCIkFo,2025-08-27-cam-cru,QUAL O MELHOR ELENCO - Atlético-MG x Cruzeiro,"Qual o melhor elenco, Atlético-MG x Cruzeiro. #atletico #cruzeiro #atleticomineiro #cabuloso #copadobrasil #galo #cruzeirense ...",UC-q72-AfUyI2om6qGUTBSwQ,Jonathan Augusto Fut,2025-08-26T18:37:59Z,pre_game,218018,2419,751,https://www.youtube.com/watch?v=3MqmBRCIkFo,"""Atlético-MG x Cruzeiro"" Copa do Brasil"
jqxBb8Q-yzk,2025-08-27-cam-cru,EMPOLGADO CRUZEIRO ENCARA ATLÉTICO-MG NA COPA DO BRASIL – ANÁLISE E MELHORES ODDS I BANDPLACAR,"No BandPlacar de hoje, Bernardo Ramos e Alinne Fanelli analisam Atlético-MG x Cruzeiro, clássico mineiro que abre as quartas ...",UC896QaWKoSGdZTmy9rHyU_g,Esporte na Band,2025-08-26T17:30:06Z,pre_game,24306,84,3,https://www.youtube.com/watch?v=jqxBb8Q-yzk,"""Atlético-MG x Cruzeiro"" Copa do Brasil"
vXJ72Q6lNd8,2025-08-27-cam-cru,ATLETICO-MG X CRUZEIRO AO VIVO COM IMAGEM - COPA DO BRASIL 2025 - ASSISTA AGORA!,aovivo #atleticomg #cruzeiro ⚽   Veja onde assistir AO VIVO Atletico mg vs Cruzeiro GOLS E MELHORES MOMENTOS ...,UC7o348w0PS8593rnIAHE1vg,Rodrigo Gamer 18,2025-08-26T17:30:21Z,pre_game,13153,39,0,https://www.youtube.com/watch?v=vXJ72Q6lNd8,"""Atlético-MG x Cruzeiro"" 27/08/2025"
Ed9wU9wVt6M,2025-08-27-cam-cru,Clima de clássico ATLÉTICO MG X CRUZEIRO #react #futebol #atleticomineiro #cruzeiro,,UC8NP2dKJ-G9dVuLbSqhBPEA,Kamila e Daniel,2025-08-26T23:44:47Z,pre_game,9347,465,0,https://www.youtube.com/watch?v=Ed9wU9wVt6M,"""Atlético-MG x Cruzeiro"" Copa do Brasil"
